order_id,order_date,customer_id,category,channel,segment,region,quantity,unit_price,discount_pct,revenue,satisfaction_score,currency
ORD-100000,2024-01-01,CUST-4931,Apparel,Direct,Enterprise,EMEA,1,64.2,0,64.2,4,USD
ORD-100001,2024-01-01,CUST-3950,Sports,Email,Consumer,North America,2,113.94,0,227.88,4,USD
ORD-100002,2024-01-01,CUST-2462,Sports,Affiliate,Enterprise,LATAM,3,131.92,0,395.76,3,USD
ORD-100003,2024-01-01,CUST-2227,Apparel,Organic Search,Consumer,North America,3,77,0,231,4,USD
ORD-100004,2024-01-01,CUST-2372,Electronics,Direct,Enterprise,North America,3,310.04,0,930.12,4,USD
ORD-100005,2024-01-01,CUST-3661,Electronics,Social,Consumer,North America,1,337.89,0,337.89,3,USD
ORD-100006,2024-01-01,CUST-1366,Beauty,Social,Mid-Market,EMEA,2,52.8,14,90.82,4,USD
ORD-100007,2024-01-01,CUST-1469,Apparel,Social,Consumer,APAC,2,54.18,0,108.36,4,USD
ORD-100008,2024-01-01,CUST-4471,Electronics,Paid Search,Startup,North America,3,391.2,0,1173.6,4,USD
ORD-100009,2024-01-01,CUST-1733,Electronics,Paid Search,Mid-Market,EMEA,1,306.93,0,306.93,4,USD
ORD-100010,2024-01-01,CUST-3013,Home & Garden,Organic Search,SMB,EMEA,2,99.03,0,198.06,4,USD
ORD-100011,2024-01-01,CUST-1606,Electronics,Paid Search,SMB,North America,2,289.3,0,578.6,4,USD
ORD-100012,2024-01-01,CUST-1192,Home & Garden,Paid Search,Mid-Market,EMEA,1,96.25,0,96.25,4,USD
ORD-100013,2024-01-01,CUST-3301,Electronics,Email,Enterprise,LATAM,2,251.47,0,502.94,4,USD
ORD-100014,2024-01-01,CUST-3594,Sports,Social,Enterprise,APAC,1,84.19,0,84.19,4,USD
ORD-100015,2024-01-01,CUST-5078,Electronics,Email,Consumer,North America,3,374.34,0,1123.02,4,USD
ORD-100016,2024-01-01,CUST-4197,Electronics,Organic Search,Consumer,North America,3,362.88,0,1088.64,3,USD
ORD-100017,2024-01-01,CUST-4094,Electronics,Paid Search,SMB,APAC,1,298.14,0,298.14,4,USD
ORD-100018,2024-01-01,,Home & Garden,Paid Search,SMB,LATAM,3,96.27,16,242.6,4,USD
ORD-100019,2024-01-01,CUST-1123,Electronics,Organic Search,Mid-Market,APAC,3,362.11,0,1086.33,4,USD
ORD-100020,2024-01-01,CUST-3035,Electronics,Organic Search,Startup,EMEA,3,323.81,0,971.43,4,USD
ORD-100021,2024-01-01,CUST-1983,Sports,Organic Search,Consumer,LATAM,1,127.56,12,112.25,4,USD
ORD-100022,2024-01-01,CUST-1702,Electronics,Direct,Startup,LATAM,3,342.99,0,1028.97,,USD
ORD-100023,2024-01-02,CUST-3511,Electronics,Paid Search,Startup,North America,1,286.85,12,252.43,4,USD
ORD-100024,2024-01-02,CUST-3275,Apparel,Email,Consumer,North America,3,54.79,1,162.73,4,USD
ORD-100025,2024-01-02,CUST-4569,Beauty,Organic Search,Enterprise,LATAM,2,43.01,12,75.7,,USD
ORD-100026,2024-01-02,CUST-1389,Home & Garden,Paid Search,Enterprise,North America,2,79.79,0,159.58,4,USD
ORD-100027,2024-01-02,CUST-4506,Beauty,Email,Startup,APAC,1,37.57,0,37.57,4,USD
ORD-100028,2024-01-02,CUST-2365,Home & Garden,Paid Search,Mid-Market,EMEA,3,104.13,0,312.39,3,USD
ORD-100029,2024-01-02,CUST-2776,Electronics,Paid Search,Startup,LATAM,1,314.61,6,295.73,4,USD
ORD-100030,2024-01-02,CUST-1794,Electronics,Email,Startup,APAC,2,275.3,0,550.6,4,USD
ORD-100031,2024-01-02,CUST-4752,Home & Garden,Direct,SMB,North America,1,112.96,0,112.96,4,USD
ORD-100032,2024-01-02,CUST-2330,Electronics,Direct,Startup,EMEA,3,342.43,0,1027.29,4,USD
ORD-100033,2024-01-02,CUST-4948,Home & Garden,Organic Search,SMB,North America,3,89.61,9,244.64,4,USD
ORD-100034,2024-01-02,CUST-2258,Electronics,Social,SMB,EMEA,2,244.69,12,430.65,4,USD
ORD-100035,2024-01-02,CUST-3023,Beauty,Social,Startup,EMEA,1,44.06,0,44.06,3,USD
ORD-100036,2024-01-02,CUST-2495,Electronics,Organic Search,Enterprise,APAC,3,355.93,0,1067.79,4,USD
ORD-100037,2024-01-02,CUST-1353,Sports,Paid Search,Consumer,APAC,1,137.83,0,137.83,4,USD
ORD-100038,2024-01-02,CUST-2472,Beauty,Organic Search,Consumer,LATAM,1,41.65,0,41.65,4,USD
ORD-100039,2024-01-02,CUST-4775,Home & Garden,Affiliate,SMB,APAC,3,71.26,0,213.78,4,USD
ORD-100040,2024-01-02,CUST-2630,Electronics,Direct,Mid-Market,North America,2,312.62,14,537.71,3,USD
ORD-100041,2024-01-02,CUST-3143,Home & Garden,Affiliate,Mid-Market,North America,1,84.42,10,75.98,4,USD
ORD-100042,2024-01-03,CUST-2650,Electronics,Organic Search,Enterprise,North America,3,339.67,0,1019.01,4,USD
ORD-100043,2024-01-03,CUST-1766,Electronics,Organic Search,Consumer,EMEA,3,366.47,0,1099.41,4,USD
ORD-100044,2024-01-03,CUST-2932,Apparel,Paid Search,SMB,LATAM,2,67.34,2,131.99,3,USD
ORD-100045,2024-01-03,CUST-3106,Apparel,Email,Enterprise,North America,2,72.99,0,145.98,,USD
ORD-100046,2024-01-03,CUST-3448,Apparel,Direct,Mid-Market,APAC,1,64.32,0,64.32,4,USD
ORD-100047,2024-01-03,CUST-2886,Home & Garden,Paid Search,Startup,EMEA,2,81.13,0,162.26,4,USD
ORD-100048,2024-01-03,CUST-4600,Sports,Affiliate,Startup,North America,1,133.1,4,127.78,4,USD
ORD-100049,2024-01-03,CUST-1490,Books,Organic Search,SMB,APAC,1,15.74,6,14.8,4,USD
ORD-100050,2024-01-03,CUST-3536,Beauty,Social,SMB,APAC,2,41.93,0,83.86,4,USD
ORD-100051,2024-01-03,CUST-3372,Electronics,Organic Search,SMB,APAC,2,277.54,0,555.08,4,USD
ORD-100052,2024-01-03,CUST-1057,Electronics,Social,Consumer,North America,2,343.66,0,687.32,,USD
